subtype,pc,pooled_I,spatial_rank,in_topk,spearman_r_vs_CPS,p,N,fdr_q
Oligodendrocyte,1,0.4234459497022725,2,True,-0.942857142857143,0.004804664723032055,6,0.024023323615160276
Oligodendrocyte,2,0.5524848680695389,1,True,-0.5428571428571429,0.26570262390670557,6,0.5478717201166181
Oligodendrocyte,3,0.1144051143900982,7,False,-0.8285714285714287,0.04156268221574334,6,
Oligodendrocyte,4,0.2314960938806476,3,True,-0.48571428571428577,0.3287230320699709,6,0.5478717201166181
Oligodendrocyte,5,0.1958899462277264,4,True,0.028571428571428574,0.9571545189504373,6,0.9571545189504373
Oligodendrocyte,6,0.1236844856957376,6,False,0.3142857142857143,0.5440932944606414,6,
Oligodendrocyte,7,0.1822517073271781,5,True,-0.14285714285714288,0.7871720116618075,6,0.9571545189504373
Oligodendrocyte,8,0.0346093690916556,16,False,0.3142857142857143,0.5440932944606414,6,
Oligodendrocyte,9,0.0847968144760447,9,False,-0.8285714285714287,0.04156268221574334,6,
Oligodendrocyte,10,0.0713745235551401,11,False,0.8857142857142858,0.01884548104956266,6,
Oligodendrocyte,11,0.082640457533951,10,False,0.2571428571428572,0.6227871720116618,6,
Oligodendrocyte,12,0.0389216157568237,15,False,-0.2571428571428572,0.6227871720116618,6,
Oligodendrocyte,13,0.0880289869705341,8,False,-0.14285714285714288,0.7871720116618075,6,
Oligodendrocyte,14,0.0709640401342272,12,False,-0.2,0.704,6,
Oligodendrocyte,15,0.0302744261431179,18,False,-0.3142857142857143,0.5440932944606414,6,
Oligodendrocyte,16,0.058835282436424,13,False,0.08571428571428573,0.8717434402332361,6,
Oligodendrocyte,17,0.0466269403368981,14,False,0.8857142857142858,0.01884548104956266,6,
Oligodendrocyte,18,0.029044647819242,19,False,-0.48571428571428577,0.3287230320699709,6,
Oligodendrocyte,19,0.0263628264782671,20,False,0.6,0.20799999999999982,6,
Oligodendrocyte,20,0.0342798100448087,17,False,0.7714285714285715,0.07239650145772594,6,
