subtype,donor,section,pc,morans_I,CPS
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,12,-0.03440672421891814,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,13,-0.026099705434556333,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,14,-0.012886392852454513,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,15,0.06693116149966946,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,16,0.08571966499308081,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,17,-0.028042787789956024,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,18,0.05802845780524093,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,19,0.0652055584908506,0.878967566
Astrocyte,H20.33.015,H20.33.015.CX24.MTG.02.007.1.03.02,20,0.08653829589592603,0.878967566
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,1,-0.02984600254992585,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,2,0.08318231485763652,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,3,-0.0006427959738046159,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,4,0.14652510544590797,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,5,0.11818212496634932,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,6,0.07673162657800041,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,7,0.005874469011801429,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,8,-0.030105532786076875,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,9,0.033211635753764665,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,10,0.02445129356611857,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,11,-0.0646612991267265,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,12,0.11397308723280916,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,13,0.04628810069762096,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,14,0.01222518526588056,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,15,-0.010143856955862392,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,16,0.06965816447756737,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,17,-0.001593348421758558,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,18,-0.03863953247995175,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,19,-0.024556508819703695,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.06,20,0.17751612350862883,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,1,0.016264837127192403,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,2,0.06649873034925181,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,3,0.08144790307889059,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,4,0.01444309145592006,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,5,0.08566349109763254,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,6,0.04681566792601498,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,7,0.07134183017324326,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,8,0.02406680231946279,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,9,-0.02580071554877924,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,10,0.0019901976617518213,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,11,0.04847756816240495,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,12,0.10437288738840268,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,13,-0.014870035080283405,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,14,0.01913744266818915,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,15,0.003006352039755393,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,16,-0.011275182896406447,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,17,0.06776560018560682,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,18,0.017143563124627396,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,19,0.019312546350549097,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.02,20,0.08346424737853723,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,1,0.07236693239874513,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,2,-0.06074733009968752,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,3,0.04230176689908158,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,4,0.06877202779619795,0.588881872
Astrocyte,H20.33.025,H20.33.025.Cx28.MTG.02.007.1.01.04,5,0.05327352532950409,0.588881872
