subtype,donor,n_cells,n_sections,n_pcs,wI_mean,mean_topI5,mean_topI10,mean_sigpcs,vw_mean,mean_top3,mean_top5,mean_top10,median_I,mean_I,max_I,CPS
L2/3 IT,H21.33.006,2267,3,20,0.1158666641927224,0.13727051434892287,0.1259704260330727,0.10059403176868467,0.13024920140802146,0.16558540590034063,0.14422709864899952,0.12619177352518082,0.09689905203476212,0.10059403176868467,0.23348922710966885,0.838095749
L2/3 IT,H21.33.019,2322,2,20,0.10241193881939696,0.13949737903721637,0.12045220376702015,0.08131564105986186,0.13576672030073664,0.23376467668604328,0.17522515054692953,0.11999551982091547,0.0554701800699811,0.08131564105986186,0.3256710815894952,0.517476286
L4 IT,H20.33.001,549,3,20,0.04761060967773202,0.035345802406632126,0.055785231042334904,0.048136142874803486,0.0606053459646449,0.08528922265006611,0.06970436154730006,0.055785231042334904,0.04428940530895296,0.048136142874803486,0.12209857790983322,0.522888828
L4 IT,H20.33.004,789,5,20,0.031997403167960604,0.02507885136097008,0.03915074689796867,0.03414736808313743,0.04095233106686074,0.06923949233892232,0.051089042064057545,0.039150746897968665,0.028110395090373757,0.03414736808313743,0.11466189592501522,0.725005699
L4 IT,H20.33.012,751,3,20,0.030304688892212734,0.026117942617935257,0.030920415550219255,0.021443245521051434,0.02832402286517979,0.06822595028757562,0.0556362181102368,0.030920415550219255,0.020885878524984962,0.021443245521051434,0.09504637890512066,0.237009997
L4 IT,H20.33.015,887,3,20,0.05993123381995029,0.05470729717311325,0.06529220777047218,0.05375490621874172,0.0608579938077056,0.08617366499507316,0.07610701855862329,0.06529220777047218,0.049673661830545196,0.05375490621874172,0.12269710955504526,0.878967566
L4 IT,H20.33.025,1195,3,20,0.0498750712852125,0.0407101336337606,0.06394507186470305,0.049124709825104924,0.06388868923940608,0.11315418404441119,0.08305580593252165,0.06394507186470304,0.04271263333151873,0.049124709825104924,0.18068588384931417,0.588881872
L4 IT,H21.33.001,537,2,20,0.02878115561747849,0.020706575257910566,0.024652141873346568,0.023922075630995417,0.02852087205648526,0.042654693757029814,0.0427129800374616,0.024652141873346568,0.020414741729996938,0.023922075630995417,0.09318876963160823,0.149616331
L4 IT,H21.33.006,535,3,20,0.03527089028257398,0.024699119688009773,0.04130993699475398,0.03776918077805348,0.04400274905722246,0.05347315015557391,0.04584493721564516,0.04130993699475398,0.04139849502134374,0.03776918077805348,0.07985992348444416,0.838095749
L4 IT,H21.33.019,731,2,20,0.04909138741766403,0.04295597441672285,0.05738497102971266,0.05036633188026022,0.059787158715272695,0.08685242870545591,0.06856090062350284,0.05738497102971266,0.04392431010166149,0.05036633188026022,0.1372471881001656,0.517476286
