subtype,cluster,severity,spearman_r,p,N,fdr_q
Astrocyte,c3,sevPC2,0.6546536707079772,0.15830242337545783,6,0.6190589733500536
Astrocyte,c3,tau_minus_amyloid,0.13093073414159545,0.8047261622231061,6,0.8778830860615703
L2/3 IT,c0,Braak,0.5094780674715722,0.16121327430990978,9,0.6190589733500536
L2/3 IT,c0,Thal,0.3460192837535861,0.3616921099554474,9,0.7883619920271318
L2/3 IT,c0,CERAD,0.7018315806285491,0.03508084652662717,9,0.6190589733500536
L2/3 IT,c0,ADNC,0.36014828907473206,0.3410591427805533,9,0.7883619920271318
L2/3 IT,c0,CPS,0.6,0.0876228290414024,9,0.6190589733500536
L2/3 IT,c0,sevPC1,0.5499999999999999,0.12497678418833198,9,0.6190589733500536
L2/3 IT,c0,sevPC2,-0.26666666666666666,0.4879222748387009,9,0.7883619920271318
L2/3 IT,c0,tau_minus_amyloid,0.26666666666666666,0.4879222748387009,9,0.7883619920271318
L2/3 IT,c1,Braak,-0.5094780674715722,0.16121327430990978,9,0.6190589733500536
L2/3 IT,c1,Thal,-0.3460192837535861,0.3616921099554474,9,0.7883619920271318
L2/3 IT,c1,CERAD,-0.7018315806285491,0.03508084652662717,9,0.6190589733500536
L2/3 IT,c1,ADNC,-0.36014828907473206,0.3410591427805533,9,0.7883619920271318
L2/3 IT,c1,CPS,-0.6,0.0876228290414024,9,0.6190589733500536
L2/3 IT,c1,sevPC1,-0.5499999999999999,0.12497678418833198,9,0.6190589733500536
L2/3 IT,c1,sevPC2,0.26666666666666666,0.4879222748387009,9,0.7883619920271318
L2/3 IT,c1,tau_minus_amyloid,-0.26666666666666666,0.4879222748387009,9,0.7883619920271318
L4 IT,c0,Braak,0.6547702297173061,0.07806940581071958,8,0.6190589733500536
L4 IT,c0,Thal,0.303080403105545,0.465565587468576,8,0.7883619920271318
L4 IT,c0,CERAD,0.5559369874958259,0.15248060078875422,8,0.6190589733500536
L4 IT,c0,ADNC,0.41147559989891175,0.3111446791773791,8,0.7883619920271318
L4 IT,c0,CPS,0.5714285714285715,0.1389599571607067,8,0.6190589733500536
L4 IT,c0,sevPC1,0.4285714285714286,0.2894032248467901,8,0.7883619920271318
L4 IT,c0,sevPC2,-0.023809523809523815,0.9553740118158807,8,0.9757011184502611
L4 IT,c0,tau_minus_amyloid,0.6190476190476191,0.1017330374542646,8,0.6190589733500536
L4 IT,c1,Braak,-0.40768712416360575,0.3160646831290504,8,0.7883619920271318
L4 IT,c1,Thal,-0.26671075473287964,0.5231267001703013,8,0.8220741082309178
L4 IT,c1,CERAD,-0.37062465833055064,0.36609381785696493,8,0.7883619920271318
L4 IT,c1,ADNC,-0.5143444998736396,0.1921925243176717,8,0.6589457976605887
L4 IT,c1,CPS,-0.28571428571428575,0.4927262450169573,8,0.7883619920271318
L4 IT,c1,sevPC1,-0.261904761904762,0.530922861565801,8,0.8220741082309178
L4 IT,c1,sevPC2,0.09523809523809526,0.8225054302036114,8,0.8871968685342325
L4 IT,c1,tau_minus_amyloid,-0.14285714285714288,0.735764859879812,8,0.8537829464053279
L4 IT,c2,Braak,-0.568291142773511,0.14164231558569762,8,0.6190589733500536
L4 IT,c2,Thal,-0.32732683535398854,0.4286915072353138,8,0.7883619920271318
L4 IT,c2,CERAD,-0.2964997266644405,0.4757860843342301,8,0.7883619920271318
L4 IT,c2,ADNC,-0.1543033499620919,0.7152407778441923,8,0.8537829464053279
L4 IT,c2,CPS,-0.3333333333333334,0.4197530864197531,8,0.7883619920271318
L4 IT,c2,sevPC1,-0.4523809523809524,0.260404767436885,8,0.7883619920271318
L4 IT,c2,sevPC2,-0.38095238095238104,0.35181255311756476,8,0.7883619920271318
