subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max,q_fdr,q_eqsec
Astrocyte,LINC01094,490,0.0221171125392966,0.021744515843232,0.143,0.0180362656215957,0.029,17,1713,1720,17,-0.0018326112588182,0.0176112004402616,0.0372804551591896,0.2871532258064516,0.328468085106383
Astrocyte,F11-AS1,499,0.0221137501140849,0.0216487105559942,0.09,0.017354045082095,0.437,17,1717,1720,17,-0.008308704003624,0.0166609419956986,0.0348359786131006,0.2165217391304348,0.6141067415730338
Astrocyte,LINC02147,499,0.0221040261467483,0.0216895916087843,0.115,0.0175273615852428,0.301,17,1720,1720,17,-0.010191085278783,0.0174764738667068,0.0380941740271016,0.2500873362445415,0.5131418918918919
Astrocyte,HSPA6,499,0.022100058133426,0.0217548572534965,0.189,0.0174762127534989,0.372,17,1720,1720,17,-0.0076542889289234,0.0163221209459778,0.0348199153432353,0.33258657243816253,0.5742702702702702
Astrocyte,SLC22A3,499,0.0220973419113137,0.0217010134530275,0.147,0.0178335289640107,0.157,17,1720,1720,17,-0.0048073873039048,0.0174309050058801,0.0363371952183085,0.2916573705179282,0.38515270935960594
Astrocyte,AC010967.1,499,0.0220927940574895,0.0216963485550149,0.151,0.0175370971829985,0.304,17,1720,1720,17,-0.0073053421195979,0.0150639949034362,0.0358982447850279,0.29722529644268775,0.5131418918918919
Astrocyte,SLC7A11,499,0.0220894195011331,0.0217008354897293,0.163,0.0176716793641403,0.23,17,1720,1720,17,-0.0045508416166239,0.0147691958167574,0.0386919470293715,0.30864638783269965,0.4509448818897638
Astrocyte,CCDC26,499,0.0220888367767484,0.0217054481539792,0.131,0.0179144664179514,0.083,17,1720,1720,17,-0.0008606902940862,0.0164767400075883,0.0349005482250532,0.2716363636363637,0.3383358778625954
Astrocyte,ADAMTSL1,499,0.0220849523408592,0.0217086101297477,0.135,0.0176770363059219,0.198,17,1720,1720,17,-0.0090233461179154,0.0169504969571275,0.0360417702040993,0.2755327868852459,0.42138461538461536
Astrocyte,AC002069.2,499,0.0220834111872771,0.0217653338310686,0.181,0.0175366092978435,0.286,17,1714,1720,17,-0.0048241801877851,0.0163402288319838,0.0356223542899418,0.32540794223826713,0.4997473684210526
Astrocyte,PRELID2,499,0.022075151015231,0.0217608129269046,0.237,0.0177177866834587,0.186,17,1696,1720,17,-0.0108079103866988,0.0159625482349384,0.0391739358071979,0.3795048231511254,0.409858407079646
Astrocyte,MSR1,499,0.0220746495075429,0.0217415589621431,0.181,0.0178092308404605,0.142,17,1720,1720,17,-0.0062863825125663,0.0170260701946153,0.0360513332770771,0.32540794223826713,0.38515270935960594
Astrocyte,SLC1A3,499,0.0220708145987114,0.0217043346031461,0.192,0.017344724914483,0.457,17,1720,1720,17,-0.0114923917553973,0.0162508595991387,0.0342394797135543,0.33549473684210523,0.6339442896935934
Astrocyte,AL353595.1,499,0.0220655851378846,0.0216939938493838,0.132,0.0172017278913474,0.566,17,1720,1720,17,-0.0104044133322503,0.0164413049274468,0.0346126586522939,0.2716363636363637,0.7208900255754476
Astrocyte,ACSBG1,496,0.0220627619880806,0.0217268453652784,0.188,0.0175521977728539,0.279,17,1720,1720,17,-0.0107193019954411,0.0165296475241827,0.0356853422598173,0.33199999999999996,0.49799999999999994
Astrocyte,LINC01266,499,0.0220610177414482,0.021749421675184,0.263,0.0179616413224978,0.177,17,1710,1720,17,-0.0052775041376606,0.0162521897756804,0.036454210822961,0.40929375000000007,0.4024931506849315
Astrocyte,AC093912.1,499,0.0220609165345981,0.02171470952378,0.156,0.0174883809636651,0.338,17,1720,1720,17,-0.0081181270019711,0.0171068437885062,0.0355819136576237,0.3026307692307692,0.5482866449511401
