subtype,regulator,I_R,d_edges,pc,frac,is_ad_pc
L4 IT,AC113137.1,0.0331942473946574,493,17,0.054126277565956116,0
L4 IT,AC113137.1,0.0331942473946574,493,18,0.04716059938073158,0
L4 IT,AC113137.1,0.0331942473946574,493,19,0.04288003221154213,0
L4 IT,AC113137.1,0.0331942473946574,493,20,0.037944819778203964,0
L4 IT,ANGPT1,0.03317451192983,493,1,0.017022525891661644,0
L4 IT,ANGPT1,0.03317451192983,493,2,0.07845061272382736,0
L4 IT,ANGPT1,0.03317451192983,493,3,0.07153166085481644,0
L4 IT,ANGPT1,0.03317451192983,493,4,0.04143647104501724,0
L4 IT,ANGPT1,0.03317451192983,493,5,0.03923939913511276,0
L4 IT,ANGPT1,0.03317451192983,493,6,0.04909025505185127,0
L4 IT,ANGPT1,0.03317451192983,493,7,0.045343149453401566,0
L4 IT,ANGPT1,0.03317451192983,493,8,0.06088542565703392,1
L4 IT,ANGPT1,0.03317451192983,493,9,0.042488787323236465,0
L4 IT,ANGPT1,0.03317451192983,493,10,0.04864167422056198,0
L4 IT,ANGPT1,0.03317451192983,493,11,0.046929530799388885,0
L4 IT,ANGPT1,0.03317451192983,493,12,0.04149433970451355,0
L4 IT,ANGPT1,0.03317451192983,493,13,0.05315721780061722,0
L4 IT,ANGPT1,0.03317451192983,493,14,0.049268756061792374,0
L4 IT,ANGPT1,0.03317451192983,493,15,0.051953352987766266,0
L4 IT,ANGPT1,0.03317451192983,493,16,0.05592501908540726,0
L4 IT,ANGPT1,0.03317451192983,493,17,0.05438115447759628,0
L4 IT,ANGPT1,0.03317451192983,493,18,0.04767384007573128,0
L4 IT,ANGPT1,0.03317451192983,493,19,0.04278404638171196,0
L4 IT,ANGPT1,0.03317451192983,493,20,0.06230286508798599,0
L4 IT,EFEMP1,0.033106240712799,495,1,0.01388611737638712,0
L4 IT,EFEMP1,0.033106240712799,495,2,0.09483283013105392,0
L4 IT,EFEMP1,0.033106240712799,495,3,0.06135218217968941,0
L4 IT,EFEMP1,0.033106240712799,495,4,0.03663899004459381,0
L4 IT,EFEMP1,0.033106240712799,495,5,0.030599694699048996,0
L4 IT,EFEMP1,0.033106240712799,495,6,0.04520908370614052,0
L4 IT,EFEMP1,0.033106240712799,495,7,0.03942321613430977,0
L4 IT,EFEMP1,0.033106240712799,495,8,0.0533648356795311,1
L4 IT,EFEMP1,0.033106240712799,495,9,0.04296988621354103,0
L4 IT,EFEMP1,0.033106240712799,495,10,0.05057210475206375,0
L4 IT,EFEMP1,0.033106240712799,495,11,0.041789278388023376,0
L4 IT,EFEMP1,0.033106240712799,495,12,0.03851678594946861,0
L4 IT,EFEMP1,0.033106240712799,495,13,0.06374107301235199,0
L4 IT,EFEMP1,0.033106240712799,495,14,0.05599511042237282,0
L4 IT,EFEMP1,0.033106240712799,495,15,0.059282977133989334,0
L4 IT,EFEMP1,0.033106240712799,495,16,0.056476742029190063,0
L4 IT,EFEMP1,0.033106240712799,495,17,0.053536467254161835,0
L4 IT,EFEMP1,0.033106240712799,495,18,0.058856792747974396,0
L4 IT,EFEMP1,0.033106240712799,495,19,0.043934691697359085,0
L4 IT,EFEMP1,0.033106240712799,495,20,0.059021271765232086,0
L4 IT,CD163,0.0330745330604671,482,1,0.01294003613293171,0
L4 IT,CD163,0.0330745330604671,482,2,0.04709422215819359,0
L4 IT,CD163,0.0330745330604671,482,3,0.056845519691705704,0
L4 IT,CD163,0.0330745330604671,482,4,0.03163565695285797,0
L4 IT,CD163,0.0330745330604671,482,5,0.03826213255524635,0
L4 IT,CD163,0.0330745330604671,482,6,0.05147942900657654,0
L4 IT,CD163,0.0330745330604671,482,7,0.028546029701828957,0
L4 IT,CD163,0.0330745330604671,482,8,0.037014223635196686,1
L4 IT,CD163,0.0330745330604671,482,9,0.054413340985774994,0
L4 IT,CD163,0.0330745330604671,482,10,0.03405480086803436,0
L4 IT,CD163,0.0330745330604671,482,11,0.06938949227333069,0
L4 IT,CD163,0.0330745330604671,482,12,0.0441625639796257,0
L4 IT,CD163,0.0330745330604671,482,13,0.04849930480122566,0
L4 IT,CD163,0.0330745330604671,482,14,0.05665373057126999,0
L4 IT,CD163,0.0330745330604671,482,15,0.07143911719322205,0
L4 IT,CD163,0.0330745330604671,482,16,0.06761360168457031,0
L4 IT,CD163,0.0330745330604671,482,17,0.06471695750951767,0
L4 IT,CD163,0.0330745330604671,482,18,0.07108993828296661,0
L4 IT,CD163,0.0330745330604671,482,19,0.06376928091049194,0
L4 IT,CD163,0.0330745330604671,482,20,0.05038062855601311,0
L4 IT,NPNT,0.0330158639143291,493,1,0.014509535394608974,0
L4 IT,NPNT,0.0330158639143291,493,2,0.09012840688228607,0
L4 IT,NPNT,0.0330158639143291,493,3,0.13892517983913422,0
L4 IT,NPNT,0.0330158639143291,493,4,0.030022887513041496,0
L4 IT,NPNT,0.0330158639143291,493,5,0.020008550956845284,0
L4 IT,NPNT,0.0330158639143291,493,6,0.04329809546470642,0
L4 IT,NPNT,0.0330158639143291,493,7,0.02538176439702511,0
L4 IT,NPNT,0.0330158639143291,493,8,0.03251411020755768,1
L4 IT,NPNT,0.0330158639143291,493,9,0.04346257075667381,0
L4 IT,NPNT,0.0330158639143291,493,10,0.04809824004769325,0
L4 IT,NPNT,0.0330158639143291,493,11,0.04258207976818085,0
L4 IT,NPNT,0.0330158639143291,493,12,0.050612371414899826,0
L4 IT,NPNT,0.0330158639143291,493,13,0.056494973599910736,0
L4 IT,NPNT,0.0330158639143291,493,14,0.06126954406499863,0
L4 IT,NPNT,0.0330158639143291,493,15,0.046297598630189896,0
L4 IT,NPNT,0.0330158639143291,493,16,0.05327627807855606,0
L4 IT,NPNT,0.0330158639143291,493,17,0.06286230683326721,0
L4 IT,NPNT,0.0330158639143291,493,18,0.05109339579939842,0
L4 IT,NPNT,0.0330158639143291,493,19,0.05005853623151779,0
L4 IT,NPNT,0.0330158639143291,493,20,0.039103541523218155,0
L4 IT,F11-AS1,0.032985640173352,499,1,0.021127574145793915,0
L4 IT,F11-AS1,0.032985640173352,499,2,0.15683327615261078,0
L4 IT,F11-AS1,0.032985640173352,499,3,0.07391021400690079,0
L4 IT,F11-AS1,0.032985640173352,499,4,0.047464724630117416,0
L4 IT,F11-AS1,0.032985640173352,499,5,0.047509387135505676,0
L4 IT,F11-AS1,0.032985640173352,499,6,0.0646132379770279,0
L4 IT,F11-AS1,0.032985640173352,499,7,0.03921227157115936,0
L4 IT,F11-AS1,0.032985640173352,499,8,0.031538110226392746,1
L4 IT,F11-AS1,0.032985640173352,499,9,0.03877954185009003,0
L4 IT,F11-AS1,0.032985640173352,499,10,0.03570682182908058,0
L4 IT,F11-AS1,0.032985640173352,499,11,0.0374901182949543,0
L4 IT,F11-AS1,0.032985640173352,499,12,0.036501020193099976,0
L4 IT,F11-AS1,0.032985640173352,499,13,0.060478854924440384,0
L4 IT,F11-AS1,0.032985640173352,499,14,0.04127851873636246,0
